year,month,day,tank,size,trt,Leftover (g)
2017,1,6,16,small,0.5%,0.000
2017,1,6,17,small,2.0%,0.485
2017,1,6,18,large,0.0%,0.000
2017,1,6,19,small,1.0%,0.156
2017,1,6,20,large,0.5%,0.000
2017,1,6,21,small,0.0%,0.000
2017,1,6,22,small,2.0%,0.610
2017,1,6,23,large,0.5%,0.000
2017,1,6,24,small,1.0%,0.243
2017,1,6,25,large,0.0%,0.000
2017,1,6,26,small,1.0%,0.000
2017,1,6,27,small,2.0%,0.555
2017,1,6,28,small,0.5%,0.000
2017,1,6,29,small,0.5%,0.000
2017,1,6,30,small,2.0%,0.581
2017,1,6,31,small,0.0%,0.000
2017,1,6,32,large,1.0%,0.236
2017,1,6,33,small,0.5%,0.000
2017,1,6,34,large,1.0%,0.342
2017,1,6,35,small,0.0%,0.000
2017,1,6,36,large,2.0%,1.305
2017,1,7,1,large,0.5%,0.000
2017,1,7,2,large,2.0%,0.713
2017,1,7,3,small,0.0%,0.000
2017,1,7,4,small,1.0%,0.064
2017,1,7,5,large,1.0%,0.438
2017,1,7,6,large,0.0%,0.000
2017,1,7,7,small,2.0%,0.450
2017,1,7,8,small,0.5%,0.000
2017,1,7,9,small,0.0%,0.000
2017,1,7,10,large,2.0%,0.735
2017,1,7,11,small,1.0%,0.099
2017,1,7,12,small,0.5%,0.000
2017,1,7,13,small,1.0%,0.202
2017,1,7,14,small,2.0%,0.477
2017,1,7,15,small,0.0%,0.000
2017,1,7,16,small,0.5%,0.000
2017,1,7,17,small,2.0%,0.394
2017,1,7,18,large,0.0%,0.000
2017,1,7,19,small,1.0%,0.201
2017,1,7,20,large,0.5%,0.000
2017,1,7,21,small,0.0%,0.000
2017,1,7,22,small,2.0%,0.547
2017,1,7,23,large,0.5%,0.000
2017,1,7,24,small,1.0%,0.158
2017,1,7,25,large,0.0%,0.000
2017,1,7,26,small,1.0%,0.209
2017,1,7,27,small,2.0%,0.564
2017,1,7,28,small,0.5%,0.000
2017,1,7,29,small,0.5%,0.000
2017,1,7,30,small,2.0%,0.607
2017,1,7,31,small,0.0%,0.000
2017,1,7,32,large,1.0%,0.350
2017,1,7,33,small,0.5%,0.000
2017,1,7,34,large,1.0%,0.549
2017,1,7,35,small,0.0%,0.000
2017,1,7,36,large,2.0%,1.180
2017,1,8,1,large,0.5%,0.000
2017,1,8,2,large,2.0%,1.043
2017,1,8,3,small,0.0%,0.000
2017,1,8,4,small,1.0%,0.000
2017,1,8,5,large,1.0%,0.321
2017,1,8,6,large,0.0%,0.000
2017,1,8,7,small,2.0%,0.413
2017,1,8,8,small,0.5%,0.000
2017,1,8,9,small,0.0%,0.000
2017,1,8,10,large,2.0%,0.863
2017,1,8,11,small,1.0%,0.130
2017,1,8,12,small,0.5%,0.000
2017,1,8,13,small,1.0%,0.145
